Domain Code,Domain,Reporter Country Code,Reporter Countries,Partner Country Code,Partner Countries,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","13","Bahrain","5922","Export Value","515","Apples","2017","2017","1000 US$","446","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","96","China, Hong Kong SAR","5910","Export Quantity","515","Apples","2017","2017","tonnes","2","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","96","China, Hong Kong SAR","5922","Export Value","515","Apples","2017","2017","1000 US$","1","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","41","China, mainland","5910","Export Quantity","515","Apples","2017","2017","tonnes","1","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","41","China, mainland","5922","Export Value","515","Apples","2017","2017","1000 US$","0","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","50","Cyprus","5910","Export Quantity","515","Apples","2017","2017","tonnes","46","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","50","Cyprus","5922","Export Value","515","Apples","2017","2017","1000 US$","23","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","73","Georgia","5910","Export Quantity","515","Apples","2017","2017","tonnes","4235","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","73","Georgia","5922","Export Value","515","Apples","2017","2017","1000 US$","2092","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","100","India","5910","Export Quantity","515","Apples","2017","2017","tonnes","11774","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","100","India","5922","Export Value","515","Apples","2017","2017","1000 US$","4142","","Official data"
"TM","Detailed trade matrix","102","Iran (Islamic Republic of)","103","Iraq","5910","Export Quantity","515","Apples","2017","2017","tonnes","227965","","Official data"
